"Measure ID","Measure Name","Measure Start Quarter","Start Date","Measure End Quarter","End Date"
Composite 1 Q1 to Q3,Communication with nurses (summary measure),1Q2019,01/01/2019,4Q2019,12/31/2019
Composite 2 Q5 to Q7,Communication with doctors (summary measure),1Q2019,01/01/2019,4Q2019,12/31/2019
Composite 3 Q4 to Q11,Responsiveness of hospital staff (summary measure),1Q2019,01/01/2019,4Q2019,12/31/2019
Composite 5 Q16 to Q17,Communication about medicines (summary measure),1Q2019,01/01/2019,4Q2019,12/31/2019
Composite 6 Q19 to Q20,Discharge information (summary measure),1Q2019,01/01/2019,4Q2019,12/31/2019
Composite 7 (Q23 to 25),HCAHPS Care Transition Measure (CTM) [Composite of questions 23 through 25],1Q2019,01/01/2019,4Q2019,12/31/2019
EDAC_30_AMI,Excess Days in Acute Care after Hospitalization for Acute Myocardial Infarction,3Q2016,07/01/2016,2Q2019,06/30/2019
EDAC_30_HF,Excess Days in Acute Care after Hospitalization for Heart Failure,3Q2016,07/01/2016,2Q2019,06/30/2019
EDAC_30_PN,Excess Days in Acute Care after Hospitalization for Pneumonia,3Q2016,07/01/2016,2Q2019,06/30/2019
ED_2b,Admit Decision Time to ED Departure Time for Admitted Patients,1Q2019,01/01/2019,4Q2019,12/31/2019
HAI_1,Central Line Associated Bloodstream Infection (ICU + select Wards),1Q2019,01/01/2019,4Q2019,12/31/2019
HAI_2,Catheter Associated Urinary Tract Infections (ICU + select Wards),1Q2019,01/01/2019,4Q2019,12/31/2019
HBIPS_2,Hours of physical-restraint use,1Q2018,01/01/2018,4Q2018,12/31/2018
HBIPS_3,Hours of seclusion,1Q2018,01/01/2018,4Q2018,12/31/2018
HBIPS_5,Patients discharged on multiple antipsychotic medications with appropriate justification,1Q2018,01/01/2018,4Q2018,12/31/2018
H_CLEAN_STAR_RATING,Cleanliness of hospital environment - star rating,1Q2019,01/01/2019,4Q2019,12/31/2019
H_COMP_1_STAR_RATING,Communication with nurses - star rating,1Q2019,01/01/2019,4Q2019,12/31/2019
H_COMP_2_STAR_RATING,Communication with doctors  - star rating,1Q2019,01/01/2019,4Q2019,12/31/2019
H_COMP_3_STAR_RATING,Responsiveness of hospital staff  - star rating,1Q2019,01/01/2019,4Q2019,12/31/2019
H_COMP_5_STAR_RATING,Communication about medicines  - star rating,1Q2019,01/01/2019,4Q2019,12/31/2019
H_COMP_6_STAR_RATING,Discharge information- star rating,1Q2019,01/01/2019,4Q2019,12/31/2019
