"Measure ID","Measure Name","Condition","Category","Score","Footnote","Start Date","End Date"
HCP_COVID_19,Percentage of healthcare personnel who completed COVID-19 primary vaccination series,Healthcare Personnel Vaccination,Healthcare workers given COVID-19 vaccination,89.6,,07/01/2023,09/30/2023
IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,Healthcare Personnel Vaccination,Healthcare workers given influenza vaccination,81,,10/01/2022,03/31/2023
OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Emergency Department,OP-18,163,"25, 26",10/01/2022,09/30/2023
OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,211,"25, 26",10/01/2022,09/30/2023
OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,124,"25, 26",10/01/2022,09/30/2023
OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,170,"25, 26",10/01/2022,09/30/2023
OP_18b_NINETIETH,Top ten percent time patients spent in the emergency department before being sent home A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,101,"25, 26",10/01/2022,09/30/2023
OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,196,"25, 26",10/01/2022,09/30/2023
OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,Emergency Department,OP-18,268,25,10/01/2022,09/30/2023
OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,347,25,10/01/2022,09/30/2023
OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,200,25,10/01/2022,09/30/2023
OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,267,25,10/01/2022,09/30/2023
OP_18c_NINETIETH,Top ten percent time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients. A lower number of minutes is better,Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,130,25,10/01/2022,09/30/2023
OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),Emergency Department,OP18 - Median time from emergency department arrival to emergency department departure for discharged emergency department patients,334,25,10/01/2022,09/30/2023
OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,Emergency Department,Left before being seen,3,"25, 26",01/01/2022,12/31/2022
OP_22_NINETIETH,Top ten percent patients who left the emergency department before being seen Lower percentages are better,Emergency Department,Left before being seen,0,"25, 26",01/01/2022,12/31/2022
OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Emergency Department,Head CT results,69,25,10/01/2022,09/30/2023
